IndicatorID,IndicatorName,AreaCode,AreaName,AreaType,Timeperiod,Value
90323,Year 6: Prevalence of obesity (including severe obesity),E08000001,Bolton,District & UA (pre 4/19),2018/19,20.9411764705882
90323,Year 6: Prevalence of obesity (including severe obesity),E08000002,Bury,District & UA (pre 4/19),2018/19,21.1581291759465
90323,Year 6: Prevalence of obesity (including severe obesity),E08000003,Manchester,District & UA (pre 4/19),2018/19,26.3206960845245
90323,Year 6: Prevalence of obesity (including severe obesity),E08000004,Oldham,District & UA (pre 4/19),2018/19,23.0220492866407
90323,Year 6: Prevalence of obesity (including severe obesity),E08000005,Rochdale,District & UA (pre 4/19),2018/19,22.8253540121376
90323,Year 6: Prevalence of obesity (including severe obesity),E08000006,Salford,District & UA (pre 4/19),2018/19,23.1019522776573
90323,Year 6: Prevalence of obesity (including severe obesity),E08000007,Stockport,District & UA (pre 4/19),2018/19,17.9447376591121
90323,Year 6: Prevalence of obesity (including severe obesity),E08000008,Tameside,District & UA (pre 4/19),2018/19,21.3649851632047
90323,Year 6: Prevalence of obesity (including severe obesity),E08000009,Trafford,District & UA (pre 4/19),2018/19,17.7042101475351
90323,Year 6: Prevalence of obesity (including severe obesity),E08000010,Wigan,District & UA (pre 4/19),2018/19,23.4971177600878
