IndicatorID,IndicatorName,ParentCode,ParentName,AreaCode,AreaName,AreaType,Sex,Age,CategoryType,Category,Timeperiod,Value,LowerCI95.0limit,UpperCI95.0limit,LowerCI99.8limit,UpperCI99.8limit,Count,Denominator,Valuenote,RecentTrend,ComparedtoEnglandvalueorpercentiles,ComparedtoRegionvalueorpercentiles,TimeperiodSortable,Newdata,Comparedtogoal
90803,Children in care,E12000002,North West region,E08000001,Bolton,County & UA (4/19-3/20),Persons,<18 yrs,NA,NA,2020,92,85.0710713619261,99.6087568060284,81.1974759536344,104.042007512044,630,68385,NA,No significant change,Worse,Similar,20200000,NA,NA
90803,Children in care,E12000002,North West region,E08000002,Bury,County & UA (4/19-3/20),Persons,<18 yrs,NA,NA,2020,79,70.4140514070326,87.3504633950682,66.031972851149,92.6183845936946,340,43289,NA,No significant change,Worse,Better,20200000,NA,NA
90803,Children in care,E12000002,North West region,E08000003,Manchester,County & UA (4/19-3/20),Persons,<18 yrs,NA,NA,2020,114,108.407934147137,120.444783805016,105.114680564315,124.048836213046,1405,122914,NA,No significant change,Worse,Worse,20200000,NA,NA
90803,Children in care,E12000002,North West region,E08000004,Oldham,County & UA (4/19-3/20),Persons,<18 yrs,NA,NA,2020,87,79.9200839862757,95.0928141370098,75.9100682871141,99.7454193476371,520,59592,NA,No significant change,Worse,Better,20200000,NA,NA
90803,Children in care,E12000002,North West region,E08000005,Rochdale,County & UA (4/19-3/20),Persons,<18 yrs,NA,NA,2020,100,92.0504381543915,109.2547022185,87.4977778214549,114.525761351643,535,53299,NA,No significant change,Worse,Similar,20200000,NA,NA
90803,Children in care,E12000002,North West region,E08000006,Salford,County & UA (4/19-3/20),Persons,<18 yrs,NA,NA,2020,97,89.5656150137884,105.8906492726,85.2370441421437,110.885598971333,560,57452,NA,No significant change,Worse,Similar,20200000,NA,NA
90803,Children in care,E12000002,North West region,E08000007,Stockport,County & UA (4/19-3/20),Persons,<18 yrs,NA,NA,2020,58,52.4661278848622,64.4998756415913,49.3381495962315,68.2313937137314,370,63518,NA,No significant change,Better,Better,20200000,NA,NA
90803,Children in care,E12000002,North West region,E08000008,Tameside,County & UA (4/19-3/20),Persons,<18 yrs,NA,NA,2020,139,129.06842358146,149.814196600895,123.516254520583,156.121546241449,705,50664,NA,Increasing and getting worse,Worse,Worse,20200000,NA,NA
90803,Children in care,E12000002,North West region,E08000009,Trafford,County & UA (4/19-3/20),Persons,<18 yrs,NA,NA,2020,67,60.6515862483134,74.3564656753434,57.0841869378698,78.6021766697412,380,56511,NA,No significant change,Similar,Better,20200000,NA,NA
90803,Children in care,E12000002,North West region,E08000010,Wigan,County & UA (4/19-3/20),Persons,<18 yrs,NA,NA,2020,77,71.19096150663,84.4965809615161,67.6699759142394,88.5731695728307,535,68916,NA,No significant change,Worse,Better,20200000,NA,NA
